,income,age
0,100000,55
1,40000,80
2,100000,47
3,40000,44
4,20000,21
5,100000,72
6,60000,52
7,80000,67
8,100000,86
9,40000,44
10,60000,58
11,20000,27
12,100000,43
13,80000,85
14,100000,66
15,80000,61
16,60000,28
17,100000,52
18,40000,59
19,80000,32
20,40000,69
21,100000,52
22,100000,56
23,100000,88
24,20000,61
25,20000,81
26,20000,67
27,100000,63
28,80000,82
29,60000,66
30,100000,82
31,20000,48
32,40000,31
33,20000,64
34,80000,63
35,80000,48
36,20000,60
37,40000,71
38,60000,23
39,80000,46
40,40000,69
41,60000,56
42,60000,49
43,60000,20
44,40000,28
45,60000,75
46,80000,45
47,20000,73
48,40000,67
49,100000,53
50,100000,35
51,80000,49
52,80000,58
53,60000,26
54,60000,61
55,20000,79
56,20000,26
57,20000,19
58,80000,82
59,100000,34
60,80000,60
61,60000,55
62,40000,90
63,80000,32
64,80000,57
65,40000,39
66,40000,29
67,100000,69
68,60000,20
69,60000,69
70,100000,66
71,60000,27
72,100000,52
73,60000,45
74,80000,58
75,60000,53
76,60000,67
77,80000,38
78,100000,27
79,60000,59
80,20000,47
81,40000,26
82,20000,29
83,60000,90
84,80000,39
85,60000,50
86,40000,49
87,60000,20
88,40000,34
89,20000,71
90,20000,22
91,60000,36
92,80000,21
93,20000,35
94,100000,78
95,100000,83
96,20000,70
97,60000,57
98,60000,59
99,80000,44
100,20000,45
101,80000,73
102,80000,86
103,80000,22
104,60000,40
105,100000,67
106,100000,90
107,20000,58
108,80000,51
109,60000,90
110,80000,75
111,40000,37
112,100000,67
113,100000,81
114,60000,38
115,60000,53
116,60000,89
117,80000,53
118,60000,27
119,40000,39
120,40000,65
121,60000,83
122,60000,19
123,60000,79
124,60000,44
125,100000,60
126,40000,27
127,60000,69
128,20000,42
129,20000,45
130,60000,48
131,60000,90
132,40000,65
133,100000,38
134,20000,87
135,20000,48
136,20000,50
137,20000,43
138,20000,79
139,80000,46
140,100000,66
141,40000,73
142,100000,70
143,40000,21
144,20000,34
145,60000,19
146,100000,62
147,60000,63
148,20000,32
149,60000,64
150,80000,74
151,80000,22
152,40000,29
153,60000,65
154,60000,74
155,60000,40
156,20000,86
157,60000,75
158,40000,35
159,60000,81
160,60000,21
161,100000,72
162,20000,59
163,60000,28
164,100000,82
165,20000,40
166,100000,81
167,60000,89
168,60000,39
169,100000,64
170,20000,68
171,100000,61
172,80000,90
173,100000,82
174,20000,70
175,60000,18
176,20000,77
177,100000,33
178,20000,26
179,20000,34
180,40000,52
181,100000,86
182,60000,20
183,80000,77
184,100000,88
185,60000,48
186,20000,80
187,100000,51
188,80000,32
189,40000,32
190,100000,72
191,20000,25
192,40000,86
193,80000,72
194,40000,67
195,100000,37
196,80000,79
197,80000,53
198,60000,35
199,80000,48
200,20000,86
201,20000,75
202,20000,86
203,60000,59
204,40000,79
205,60000,50
206,60000,32
207,100000,80
208,60000,67
209,40000,88
210,80000,62
211,20000,64
212,40000,36
213,60000,39
214,60000,26
215,100000,28
216,20000,35
217,80000,76
218,60000,54
219,40000,86
220,40000,56
221,80000,38
222,80000,55
223,20000,90
224,80000,83
225,40000,37
226,20000,21
227,80000,27
228,60000,67
229,20000,67
230,60000,35
231,80000,33
232,20000,90
233,20000,68
234,80000,36
235,80000,79
236,60000,76
237,100000,78
238,40000,71
239,40000,18
240,20000,58
241,40000,75
242,60000,53
243,60000,29
244,40000,43
245,100000,54
246,60000,36
247,100000,82
248,40000,54
249,20000,90
250,100000,62
251,100000,41
252,40000,43
253,20000,48
254,80000,58
255,80000,48
256,20000,53
257,20000,83
258,20000,61
259,40000,62
260,40000,43
261,80000,48
262,40000,45
263,20000,42
264,60000,31
265,100000,72
266,80000,62
267,60000,54
268,100000,90
269,40000,32
270,40000,75
271,100000,66
272,40000,84
273,80000,46
274,20000,47
275,100000,61
276,100000,43
277,20000,74
278,20000,28
279,80000,38
280,100000,22
281,80000,90
282,40000,83
283,20000,32
284,20000,59
285,40000,27
286,60000,48
287,100000,50
288,60000,75
289,40000,85
290,40000,32
291,20000,59
292,40000,79
293,80000,21
294,40000,60
295,40000,45
296,60000,58
297,80000,28
298,80000,39
299,60000,23
300,60000,67
301,40000,60
302,40000,78
303,20000,89
304,40000,44
305,20000,79
306,60000,89
307,60000,89
308,40000,26
309,80000,35
310,60000,29
311,80000,76
312,40000,70
313,60000,67
314,60000,56
315,60000,55
