,customerid,products_per_customer
0,5642,7
1,16592,9
2,6114,9
3,11233,5
4,3936,3
5,18803,1
6,12502,5
7,7662,5
8,18181,8
9,9038,4
10,5697,16
11,1750,17
12,4321,8
13,5230,9
14,176,5
15,9719,1
16,4993,2
17,292,4
18,17573,7
19,2784,3
20,1552,5
21,5001,8
22,5038,7
23,1811,9
24,10792,4
25,764,5
26,3762,8
27,1268,8
28,19618,6
29,13894,8
30,15904,6
31,161,6
32,8057,4
33,10454,11
34,13048,4
35,12251,9
36,1595,2
37,10399,17
38,13277,10
39,4519,5
40,18375,16
41,4289,4
42,11196,8
43,815,1
44,2054,3
45,14403,3
46,8660,1
47,3150,7
48,2702,8
49,6127,6
50,14913,1
51,3071,8
52,12961,10
53,8457,6
54,4452,8
55,16717,4
56,16363,9
57,9720,3
58,8228,13
59,5719,9
60,5644,5
61,17697,3
62,17867,5
63,357,8
64,19297,7
65,14764,8
66,4634,10
67,1550,6
68,15088,5
69,6258,1
70,3840,7
71,6775,8
72,307,9
73,366,8
74,10431,7
75,19940,4
76,16047,6
77,3199,13
78,19162,3
79,91,1
80,4078,8
81,14205,8
82,5436,7
83,13577,6
84,15945,2
85,9362,7
86,6458,5
87,17890,9
88,19324,8
89,12513,19
90,12220,5
91,7946,6
92,17889,9
93,3986,2
94,13866,7
95,17968,8
96,12248,16
97,19597,3
98,18879,15
99,2773,3
100,4356,1
101,5754,9
102,7467,8
103,12525,13
104,6219,4
105,5763,9
106,13,9
107,4689,2
108,1319,7
109,9185,8
110,1942,7
111,17407,11
112,11194,2
113,13128,15
114,14587,2
115,17368,2
116,18610,1
117,3442,12
118,6095,15
119,2952,1
120,10214,15
121,19381,9
122,19331,22
123,453,2
124,16422,4
125,9838,2
126,10385,12
127,19592,7
128,5581,1
129,11752,9
130,14162,5
131,11157,7
132,12774,12
133,16622,8
134,9685,17
135,4351,4
136,7154,3
137,12114,10
138,1549,7
139,12045,3
140,17387,4
141,1613,7
142,13574,5
143,9771,20
144,16858,11
145,4645,1
146,2073,2
147,11359,7
148,9890,4
149,4199,10
150,8475,1
151,10749,6
152,11570,11
153,6581,8
154,3378,5
155,16847,4
156,17555,5
157,1044,8
158,18300,4
159,17953,7
160,4967,3
161,17473,4
162,18452,9
163,3671,3
164,12347,11
165,589,3
166,7942,8
167,19971,3
168,14872,6
169,17021,1
170,17796,9
171,9623,8
172,6631,2
173,329,6
174,44,12
175,7691,16
176,1144,2
177,8270,7
178,4719,3
179,17228,6
180,19170,4
181,2598,8
182,11964,2
183,11562,7
184,15437,7
185,2951,5
186,6331,5
187,8954,1
188,8416,9
189,18487,14
190,7900,9
191,948,10
192,8267,3
193,1540,3
194,14626,5
195,7184,2
196,3882,2
197,6495,4
198,18007,9
199,6086,7
200,981,6
201,6091,7
202,8118,1
203,12074,9
204,12145,9
205,12836,8
206,7141,3
207,8366,4
208,15427,2
209,9413,8
210,13445,5
211,11265,4
212,6473,9
213,7711,3
214,10188,8
215,17594,7
216,1747,8
217,3890,8
218,972,6
219,6329,12
220,8814,9
221,12486,3
222,8097,16
223,14696,1
224,5352,5
225,3682,4
226,7985,7
227,3133,8
228,10574,9
229,17550,6
230,10453,3
231,15801,2
232,14998,5
233,12415,7
234,8624,2
235,524,6
236,7372,10
237,15137,8
238,5511,2
239,4959,9
240,862,14
241,9018,1
242,6723,6
243,7566,2
244,8359,1
245,19224,5
246,2255,6
247,13419,3
248,4705,3
249,1101,10
250,14826,6
251,99,4
252,7388,8
253,7486,2
254,3688,21
255,11436,4
256,9924,15
257,4194,5
258,9626,1
259,3499,1
260,7105,7
261,18337,3
262,8766,4
263,14761,9
264,19217,8
265,14331,9
266,442,8
267,8522,5
268,12,6
269,8453,1
270,6024,15
271,8890,6
272,18331,7
273,11761,1
274,4082,7
275,6756,11
276,11373,9
277,13443,23
278,8943,6
279,8400,2
280,13818,2
281,8854,7
282,11163,1
283,17518,8
284,14937,2
285,5961,2
286,16233,3
287,8729,3
288,4151,3
289,13303,2
290,18278,2
291,14264,8
292,16522,3
293,16494,4
294,5100,1
295,7313,9
296,12878,2
297,8936,9
298,6285,14
299,11869,17
300,12290,1
301,9940,3
302,14958,2
303,826,1
304,4897,21
305,15986,8
306,3505,5
307,4574,13
308,17893,8
309,13645,7
310,8172,8
311,18123,7
312,12389,3
313,17614,2
314,10962,4
315,15220,7
316,18432,6
317,18449,9
318,6228,8
319,6921,5
320,12756,7
321,11714,2
322,11178,4
323,1579,1
324,768,5
325,17181,8
326,13175,16
327,18602,15
328,14770,6
329,8213,6
330,14542,25
331,7565,2
332,17723,14
333,10784,5
334,3686,5
335,5790,3
336,16332,14
337,17938,13
338,4232,3
339,18347,7
340,17501,17
341,15305,26
342,18726,5
343,8474,15
344,13820,12
345,2792,3
346,703,8
347,2413,7
348,18112,2
349,11259,7
350,18544,7
351,8792,7
352,15477,2
353,2428,6
354,5994,8
355,13088,2
356,6447,1
357,11438,14
358,14328,3
359,2153,4
360,15075,10
361,4396,2
362,1165,3
363,16035,3
364,14653,8
365,18743,8
366,10569,4
367,6208,5
368,6616,14
369,12057,6
370,10326,9
371,15932,10
372,13763,8
373,5991,3
374,2971,6
375,11663,1
376,18125,8
377,8044,19
378,11657,1
379,7274,7
380,12824,10
381,12222,4
382,444,4
383,537,15
384,13417,5
385,16502,3
386,18742,1
387,4106,3
388,19784,17
389,11200,8
390,6233,3
391,13850,13
392,16203,7
393,16416,4
394,4245,15
395,6648,9
396,3861,7
397,9761,2
398,13539,8
399,6721,6
400,8486,1
401,6249,8
402,12221,4
403,10763,2
404,18440,3
405,13293,12
406,15218,1
407,16131,3
408,5257,8
409,2986,6
410,8352,11
411,7023,7
412,13846,7
413,14034,2
414,6151,9
415,8663,3
416,17664,3
417,18299,4
418,8661,11
419,10462,3
420,78,16
421,15874,4
422,8455,6
423,2816,6
424,5903,9
425,611,7
426,18614,7
427,3772,14
428,5801,7
429,18127,5
430,19454,4
431,18556,5
432,9738,5
433,18607,5
434,19977,13
435,15410,5
436,1693,18
437,16451,6
438,6601,3
439,8815,9
440,3331,2
441,12885,7
442,15303,2
443,448,3
444,5613,5
445,701,2
446,4231,5
447,17074,2
448,17033,6
449,15696,6
450,7102,5
451,9634,3
452,15545,10
453,9592,10
454,6652,16
455,7291,10
456,6503,1
457,19168,4
458,8505,7
459,12673,4
460,17435,1
461,17903,8
462,9984,9
463,11578,8
464,9344,6
465,289,3
466,14885,4
467,19521,3
468,12205,8
469,17230,5
470,14117,8
471,12667,5
472,9588,6
473,3543,4
474,18419,2
475,18342,9
476,15588,17
477,10606,9
478,4024,6
479,15012,1
480,14112,9
481,9448,6
482,1470,4
483,18928,14
484,1159,5
485,4335,9
486,14248,1
487,4826,6
488,3672,4
489,3409,3
490,12554,7
491,3117,11
492,19238,1
493,4107,8
494,18409,16
495,9100,8
496,17422,10
497,10871,7
498,13142,8
499,5309,4
500,15665,5
501,14412,7
502,3751,4
503,3847,6
504,6685,8
505,4615,4
506,18952,5
507,13953,14
508,14185,2
509,5536,7
510,11273,1
511,18539,7
512,8691,5
513,16485,9
514,4636,28
515,13942,6
516,18126,4
517,3441,6
518,11048,8
519,1305,13
520,17990,5
521,8976,6
522,18765,7
523,7695,31
524,5386,15
525,8832,2
526,9464,5
527,4222,10
528,18802,8
529,14811,8
530,1293,1
531,17958,9
532,19222,13
533,2133,2
534,13335,8
535,3079,9
536,12748,6
537,3269,8
538,158,9
539,7670,3
540,5413,1
541,19254,5
542,15775,1
543,5213,7
544,19119,8
545,6463,6
546,12626,8
547,10383,12
548,2305,9
549,5596,6
550,9314,15
551,4658,2
552,14964,4
553,4444,8
554,16278,12
555,6441,5
556,17251,5
557,15580,6
558,1667,16
559,3669,5
560,17019,13
561,10830,8
562,17059,1
563,8203,4
564,12506,8
565,614,6
566,6584,9
567,1607,7
568,9452,8
569,16588,7
570,13805,6
571,5191,3
572,14305,1
573,3929,29
574,11393,7
575,3823,3
576,11526,9
577,17622,6
578,11257,2
579,7390,10
580,5043,9
581,14691,3
582,15739,2
583,15772,6
584,11337,12
585,18412,8
586,15999,6
587,1509,6
588,14207,14
589,6290,6
590,849,6
591,4849,14
592,12603,7
593,9188,2
594,9154,5
595,9298,8
596,18942,6
597,7680,1
598,4347,10
599,19189,9
600,14306,9
601,19389,9
602,1673,11
603,6874,1
604,10860,11
605,7335,4
606,16756,7
607,16974,7
608,5751,8
609,2403,4
610,1728,9
611,5547,2
612,3743,4
613,8023,6
614,9969,1
615,11091,15
616,10398,2
617,17596,7
618,18636,14
619,5363,7
620,7599,6
621,13285,4
622,2592,9
623,3191,4
624,14058,8
625,6408,1
626,15146,10
627,10329,6
628,17795,16
629,14414,2
630,12798,9
631,18055,1
632,10799,4
633,16772,5
634,2065,6
635,15595,7
636,9471,9
637,4480,8
638,10508,7
639,8220,7
640,12734,4
641,3941,10
642,8144,5
643,10360,2
644,17939,6
645,19172,11
646,17679,17
647,844,6
648,7323,6
649,8721,8
650,10922,8
651,6,7
652,6884,5
653,1551,5
654,17427,5
655,1148,10
656,2628,8
657,11282,6
658,14461,8
659,17163,6
660,19001,27
661,11532,8
662,19242,9
663,13160,11
664,11211,5
665,4079,2
666,8077,15
667,18069,4
668,6896,1
669,14916,4
670,9138,5
671,8272,8
672,3364,10
673,11493,6
674,1850,8
675,18914,4
676,12002,18
677,2023,13
678,2167,3
679,16679,8
680,12570,2
681,11904,8
682,9822,14
683,3461,1
684,7986,3
685,12331,6
686,12103,5
687,6658,10
688,14385,8
689,15736,3
690,3009,15
691,11351,9
692,10461,1
693,3678,7
694,6036,8
695,18042,6
696,18312,5
697,7556,8
698,14702,5
699,11873,10
700,15328,12
701,7014,6
702,19158,9
703,8252,12
704,18719,1
705,4714,7
706,15354,6
707,5624,6
708,4068,6
709,15916,6
710,16800,7
711,6574,5
712,1991,7
713,8354,7
714,3481,9
715,12773,6
716,17357,2
717,8614,3
718,12943,11
719,2344,8
720,19483,10
721,16930,6
722,6366,11
723,11843,1
724,4010,3
725,762,6
726,10388,12
727,6897,7
728,13172,8
729,5385,7
730,69,7
731,7657,4
732,19025,2
733,14936,3
734,9059,6
735,6886,9
736,15276,1
737,19582,3
738,17987,1
739,12194,15
740,15240,1
741,19914,2
742,18944,15
743,9493,5
744,279,9
745,5509,15
746,8802,2
747,8887,3
748,6847,8
